CETCode,College,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",EC,15240,--,--,12768,19019,12941,9338,--,18117,9860,--,13907,9014,--,12912,8251,18327,12310,38103,58993,70566,34556,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",EE,25116,--,--,25443,--,--,19651,--,--,18458,--,29279,21106,28496,--,15781,21876,23500,38385,--,77515,34396,--,44008,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",EI,88462,--,--,51144,--,--,100095,--,--,44108,--,--,53319,--,--,32933,53045,57784 101933,,--,--,--,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",IE,8436,36536,--,9765,--,10027,10310,--,--,7879,--,11590,8372,--,--,6543,22604,9773,41125,--,60062,16332,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",IM,122712,--,--,135074,--,--,124617,--,--,112293,--,--,102984,--,--,100209,--,1.25747E+11,,--,--,--,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",MD,109083,--,--,63598,--,1.1949E+11,,--,--,53163,--,--,49523,--,--,46150,95830,50508,74150,--,--,--,--,66934,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",ME,50091,--,--,63472,--,87189,57015,--,140485 31208,,--,--,31990,--,51278,26707,35000,50760,85857 135470,,--,68502,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",TC,76652,--,--,65142,--,67281,73091,--,90911,48956,--,--,45010,--,--,36803,--,65716,85832,--,--,47415,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",CE,55337,--,--,79351,109629,128746,68315,--,--,48752,--,--,57093,--,60047,47439,50166,58439,97574 136573140903 56373,,,,--,--,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",CS,11036,--,13516,9704,15585,10209,8855,--,22011,4906,--,--,6742,--,7874,4653,8861,7051,31746,53836,41713,13423,--,--,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",EC,14987,--,33460,11198,--,13643,13403,--,--,7299,--,13466,8929,21407,11684,6957,12326,11407,38293,--,43253,35520,--,--,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",EE,19253,20883,--,21094,--,30898,24621,--,--,16917,--,--,16164,--,--,15337,--,20006,59509,--,--,--,--,--,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",EI,--,--,--,49585,--,--,--,--,--,60229,--,--,66051,--,--,44692,50409,46890 137328,,--,--,--,--,--,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",IE,7861,--,--,11593,--,13509,15714,33012,--,6626,--,--,6911,--,--,5565,--,7930,30590,--,41404,--,--,--,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",IM,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138185,--,--,--,--,--,--,--,--,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",ME,84989,--,--,59135,--,73505,98382,--,--,44401,--,63969,48560,--,--,38756,63022,60408 100435,,--,--,79511,--,94583,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",TC,25872,--,--,50401,--,--,71633,--,--,36988,--,--,41730,--,--,24834,--,52159,85581,--,--,80525,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E009,P E S University (Ring Road Campus),"Banashankari, Bengaluru",BT,--,--,--,27583,--,--,--,--,--,--,--,20545,37503,--,--,8367,46532,8484,97347,--,--,56183,--,--,,,,
E009,P E S University (Ring Road Campus),"Banashankari, Bengaluru",CE,23613,--,--,35918,--,--,19515,--,--,22714,37479,--,21710,--,--,14765,--,25478,24448,--,--,--,--,27140,,,,
